_id,Ministry,Ministere,Agency,Organisme,Position,Poste,Member / Membre,Term Start / Debut du mandat,Term End / Fin du mandat,Location / Emplacement
2457,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Don Mahleka,2022-11-29,2023-11-28T00:00:00,Hamilton
2458,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),joan Duke,2021-11-09,2024-11-08T00:00:00,Thunder Bay
2459,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Sandra Holdsworth,2021-11-09,2024-11-08T00:00:00,Gravenhurst
2460,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Kimberly Cato,2021-11-18,2024-11-17T00:00:00,Oakville
2461,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Wendy De Souza,2021-11-18,2024-11-17T00:00:00,Mississauga
2462,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Shequita Thompson-Reid,2021-11-23,2024-11-22T00:00:00,Oshawa
2463,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Dean Valentine,2021-12-02,2024-12-01T00:00:00,Toronto
2464,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Sandi Bell,2022-01-29,2025-01-28T00:00:00,Hamilton
2465,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Sterling  Renzoni,2022-02-15,2025-02-14T00:00:00,Orangeville
2466,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),David  Bell,2022-03-03,2025-03-02T00:00:00,Ottawa
2467,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Shannon McGavin,2022-03-03,2025-03-02T00:00:00,Walton
2468,Health,Ministère de la Santé,Patient and Family Advisory Council,Conseil Consultatif Ministériel Des Patients Et Des Familles,Member (Part-Time),Membre (Temps Partiel),Amandeep Kaur,2022-04-21,2025-04-20T00:00:00,Kleinburg
2469,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2470,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2471,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2472,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2473,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2474,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2475,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2476,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2477,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2478,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2479,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2480,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2481,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2482,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2483,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2484,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2485,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2486,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2487,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2488,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2489,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2490,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2491,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2492,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2493,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2494,Health,Ministère de la Santé,Physician Payment Review Board,Commission De Révision Des Paiements Effectués Aux Médecins,Member (Part-Time),Membre (Temps Partiel),,,,
2495,Health,Ministère de la Santé,Self-Directed Personal Support Services Ontario,Services De Soutien À La Personne Autogérés Ontariofyi - For Column Ao --- Sdpsso Is A Corporation Established By Letters Patent In Accordance With The Corporations Act.,Chair (Part-Time),Présidence (Temps Partiel),,,,
2496,Health,Ministère de la Santé,Self-Directed Personal Support Services Ontario,Services De Soutien À La Personne Autogérés Ontariofyi - For Column Ao --- Sdpsso Is A Corporation Established By Letters Patent In Accordance With The Corporations Act.,Member (Part-Time),Membre (Temps Partiel),,,,
2497,Health,Ministère de la Santé,Self-Directed Personal Support Services Ontario,Services De Soutien À La Personne Autogérés Ontariofyi - For Column Ao --- Sdpsso Is A Corporation Established By Letters Patent In Accordance With The Corporations Act.,Member (Part-Time),Membre (Temps Partiel),,,,
2498,Health,Ministère de la Santé,Self-Directed Personal Support Services Ontario,Services De Soutien À La Personne Autogérés Ontariofyi - For Column Ao --- Sdpsso Is A Corporation Established By Letters Patent In Accordance With The Corporations Act.,Member (Part-Time),Membre (Temps Partiel),,,,
2499,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Chair (Part-Time),Présidence (Temps Partiel),,,,
2500,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),,,,
2501,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2502,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2503,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2504,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2505,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2506,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2507,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2508,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2509,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2510,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2511,Health,Ministère de la Santé,Trillium Gift Of Life Network,Réseau Trillium Pour Le Don De Vie,Member (Part-Time),Membre (Temps Partiel),,,,
2512,Indigenous Affairs,Ministère des Affaires autochtones,Special Advisor on Indigenous Affairs,Conseiller spécial en affaires autochtones,Special Advisor (Part-Time),Conseiller Spécial (Temps Partiel),,,,
2513,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Chair (Part-Time),Présidence (Temps Partiel),David Lindsay,2021-06-10,2024-06-09T00:00:00,Baltimore
2514,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),,,,
2515,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Lynn Kennedy,2022-01-31,2023-01-30T00:00:00,Toronto
2516,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Bashar Alrehany,2022-02-17,2023-02-16T00:00:00,Mississauga
2517,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),John McDonald,2022-06-26,2023-06-25T00:00:00,Newmarket
2518,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Michael Lindsay,2020-11-01,2023-10-31T00:00:00,Toronto
2519,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),GADI MAYMAN,2022-01-24,2024-01-23T00:00:00,TORONTO
2520,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Amit Monga,2022-03-04,2024-03-03T00:00:00,Toronto
2521,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Mark Romoff,2021-06-24,2024-06-23T00:00:00,Toronto
2522,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Carmine Francella,2021-07-08,2024-07-07T00:00:00,TORONTO
2523,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Carol Pennycook,2021-07-08,2024-07-07T00:00:00,Toronto
2524,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),David Shiner,2021-11-21,2024-11-20T00:00:00,Toronto
2525,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Member (Part-Time),Membre (Temps Partiel),Jeff Wesley,2022-03-21,2025-03-20T00:00:00,Wallaceburg
2526,Infrastructure,Ministère De L'infrastructure,Ontario Infrastructure and Lands Corporation (Infrastructure Ontario),Société Ontarienne Des Infrastructures Et De L’Immobilier (Infrastructure Ontario),Chief Executive Officer (Full-Time),Bureau Du Chef De La Direction (Plein Temps),Michael Lindsay,2020-11-01,2023-10-31T00:00:00,Toronto
2527,Infrastructure,Ministère De L'infrastructure,Ontario Place Corporation,Société D'exploitation De La Place De L'ontario,Chair (Part-Time),Présidence (Temps Partiel),Carmine  Nigro,2022-03-04,2023-03-03T00:00:00,Toronto
2528,Infrastructure,Ministère De L'infrastructure,Ontario Place Corporation,Société D'exploitation De La Place De L'ontario,Member (Part-Time),Membre (Temps Partiel),,,,
2529,Infrastructure,Ministère De L'infrastructure,Toronto Waterfront Revitalization Corporation,Société De Revitalisation Du Secteur Riverain De Toronto,Member (Part-Time),Membre (Temps Partiel),Stephen Diamond,2022-03-21,2023-03-20T00:00:00,Toronto
2530,Infrastructure,Ministère De L'infrastructure,Toronto Waterfront Revitalization Corporation,Société De Revitalisation Du Secteur Riverain De Toronto,Member (Part-Time),Membre (Temps Partiel),Andrew MacLeod,2022-01-17,2024-01-16T00:00:00,Kitchener
2531,Infrastructure,Ministère De L'infrastructure,Toronto Waterfront Revitalization Corporation,Société De Revitalisation Du Secteur Riverain De Toronto,Member (Part-Time),Membre (Temps Partiel),Paul Khawaja,2021-07-08,2024-07-07T00:00:00,Oakville
2532,Infrastructure,Ministère De L'infrastructure,Toronto Waterfront Revitalization Corporation,Société De Revitalisation Du Secteur Riverain De Toronto,Member (Part-Time),Membre (Temps Partiel),Alysha Valenti,2021-10-14,2024-10-13T00:00:00,Toronto
2533,Infrastructure,Ministère De L'infrastructure,Toronto Waterfront Revitalization Corporation,Société De Revitalisation Du Secteur Riverain De Toronto,Member (Part-Time),Membre (Temps Partiel),Kevin Sullivan,2022-02-21,2025-02-20T00:00:00,Toronto
2534,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Council of the Canadian Centre for Occupational Health and Safety,Conseil Du Centre Canadien D'hygiène Et De Sécurité Au Travail,Member (Part-Time),Membre (Temps Partiel),Rodney Cook,2020-11-26,2025-06-23T00:00:00,Whitby
2535,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Grievance Settlement Board,Commission De Règlement Des Griefs,Chair (Part-Time),Présidence (Temps Partiel),Matthew Wilson,2021-03-15,2023-03-14T00:00:00,Whitby
2536,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Grievance Settlement Board,Commission De Règlement Des Griefs,Alternate Chair (Part-Time),Président Alternatif (Temps Partiel),Marilyn Nairn,2020-03-07,2023-03-06T00:00:00,TORONTO
2537,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Human Resources Professionals Association,Association Des Professionnels En Ressources Humaines,Member (Part-Time),Membre (Temps Partiel),Selomon Menghsha,2021-08-12,2024-08-11T00:00:00,London
2538,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Human Resources Professionals Association,Association Des Professionnels En Ressources Humaines,Member (Part-Time),Membre (Temps Partiel),Timothy Lang,2022-02-17,2025-02-16T00:00:00,Oakville
2539,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Human Resources Professionals Association,Association Des Professionnels En Ressources Humaines,Member (Part-Time),Membre (Temps Partiel),,,,
2540,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Chair (Part-Time),Présidence (Temps Partiel),Sandra Shime,2022-10-04,,Toronto
2541,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),John Ives,2021-07-27,2024-07-26T00:00:00,Toronto
2542,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),Jeffrey Murray,2021-08-25,2024-08-24T00:00:00,Toronto
2543,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),David Graf,2022-01-01,2024-12-31T00:00:00,Mono
2544,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),Angela Hildyard,2021-01-20,2025-01-19T00:00:00,TORONTO
2545,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),Shawn  Haggerty,2022-03-22,2025-03-21T00:00:00,BRACEBRIDGE
2546,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Labour-Management Advisory Committee,Comité Consultatif Syndical-Patronal,Member (Part-Time),Membre (Temps Partiel),Catherine Braker,2022-05-02,2025-05-01T00:00:00,Toronto
2547,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Office of the Employer Adviser,Bureau Des Conseillers Des Employeurs,Chair (Part-Time),Présidence (Temps Partiel),Jim Dimanis,2021-06-17,2024-06-16T00:00:00,Saint Anns
2548,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Office of the Fairness Commissioner,Bureau De Commissiare À L’Équité,Commissioner (Full-Time),Commissaire (Plein Temps),Irwin Glasberg,2022-08-10,2024-08-09T00:00:00,Toronto
2549,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Office of the Worker Adviser,Bureau Des Conseillers Des Travailleurs,Chair (Part-Time),Présidence (Temps Partiel),Pauline Niles,2021-06-17,2024-06-16T00:00:00,Innisfil
2550,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Immigrant Investor Corporation,Société Ontarienne De Gestion Des Fonds Des Investisseurs Immigrants,Chair (Part-Time),Présidence (Temps Partiel),Patricia Perez,2020-03-12,2023-03-11T00:00:00,Maple
2551,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Immigrant Investor Corporation,Société Ontarienne De Gestion Des Fonds Des Investisseurs Immigrants,Member (Part-Time),Membre (Temps Partiel),MARA BAKIC,2020-02-27,2023-02-26T00:00:00,TORONTO
2552,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Immigrant Investor Corporation,Société Ontarienne De Gestion Des Fonds Des Investisseurs Immigrants,Member (Part-Time),Membre (Temps Partiel),Michael Reid,2022-03-24,2023-09-23T00:00:00,Toronto
2553,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Chair (Full-Time),Présidence (Plein Temps),Brian O'Byrne,2022-02-28,2024-02-27T00:00:00,TORONTO
2554,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Alternate Chair (Full-Time),Président Alternatif (Plein Temps),Lindsay Lawrence,2022-11-03,2023-09-01T00:00:00,Toronto
2555,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Kelly Waddingham,2018-01-01,2022-12-31T00:00:00,Toronto
2556,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Neil Keating,2021-01-22,2023-01-21T00:00:00,Oshawa
2557,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Maureen Doyle,2021-02-07,2023-02-06T00:00:00,Toronto
2558,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),C Michael Mitchell,2021-02-28,2023-02-27T00:00:00,Toronto
2559,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Caroline Rowan,2021-05-07,2023-05-06T00:00:00,Toronto
2560,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Patrick Kelly,2021-06-03,2023-06-02T00:00:00,Toronto
2561,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Jesse kugler,2021-08-26,2023-08-25T00:00:00,Toronto
2562,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Lindsay Lawrence,2021-09-02,2023-09-01T00:00:00,Toronto
2563,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Roslyn McGilvery,2018-10-31,2023-10-30T00:00:00,TORONTO
2564,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Danna Morrison,2022-02-17,2024-02-16T00:00:00,Toronto
2565,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),John Lewis,2019-03-11,2024-03-10T00:00:00,OAKVILLE
2566,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Michael McCrory,2021-08-29,2024-08-28T00:00:00,Toronto
2567,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Peigi Ross,2021-08-29,2024-08-28T00:00:00,Toronto
2568,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Michael McFadden,2019-11-05,2024-11-04T00:00:00,Toronto
2569,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),David Ross,2022-11-15,2025-11-14T00:00:00,Mississauga
2570,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Jack Slaughter,2021-02-03,2026-02-02T00:00:00,TORONTO
2571,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),Genevieve Debane,2022-01-01,2026-06-29T00:00:00,TORONTO
2572,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Full-Time),Vice-Présidence (Plein Temps),,,,
2573,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Brian Smeenk,2021-05-20,2023-05-19T00:00:00,Toronto
2574,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),John (Giovanni) Martelli,2021-05-20,2023-05-19T00:00:00,Etobicoke
2575,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Derek Rogers,2018-10-31,2023-10-30T00:00:00,Toronto
2576,"Labour, Immigration, Training and Skills Development","Ministère du Travail, de la Formation et du Développement des
compétences",Ontario Labour Relations Board,Commission Des Relations De Travail De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),THOMAS Kuttner,2018-10-31,2023-10-30T00:00:00,Tecumseh
