 Amount ,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
" $1,423,248 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Welland-Mcmaster Family Health Team,No Value,No Value
" $1,852,674 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Carleton Family Health Team,No Value,No Value
" $1,457,100 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Champlain Family Health Team Inc,No Value,No Value
" $1,869,250 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Durham Family Health Team,No Value,No Value
" $356,193 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Haldimand General Hospital,No Value,No Value
" $1,163,586 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Nipissing Family Health Team,No Value,No Value
" $460,677 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Nipissing General Hospital,No Value,No Value
" $642,557 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Park Healthcare Centre,No Value,No Value
" $3,946,991 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Parry Sound Health Centre,No Value,No Value
" $121,056 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,West Physio,No Value,No Value
" $22,618,001 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,William Osler Health System,No Value,No Value
" $579,696 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Willowdale Physiotherapy Clinic,No Value,No Value
" $1,455,404 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Winchester District Memorial Hospital,No Value,No Value
" $3,634,972 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Windsor Family Health Team,No Value,No Value
" $328,224 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Windsor Physiotherapy Services,No Value,No Value
" $12,057,486 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Windsor Regional Hospital,No Value,No Value
" $360,508 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Wingham & District Hospital,No Value,No Value
" $6,124,401 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Women's College Hospital,No Value,No Value
" $1,555,494 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Woodbine Family Health Team,No Value,No Value
" $1,236,419 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Woodbridge Medical Centre Family Health Team,No Value,No Value
" $2,687,874 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Woodstock Hospital,No Value,No Value
" $337,584 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,York Physiotherapy And Rehabilitation Centre,No Value,No Value
" $747,909 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,Youthdale Treatment Centres,No Value,No Value
" $11,711,545 ",Ministry Of Health,Transfer Payments,Payments Made For Services And Care Provided By Physicians And Practitioners,"Accounts Under $120,000",No Value,No Value
" $52,930,373 ",Ministry Of Health,Transfer Payments,Independent Health Facilities,Payments Made For Services And Care Provided By Physicians And Practitioners,No Value,No Value
" $16,554,892 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,3130827 Canada Inc (O/A Canadian Pharmaceutical Distribution Network),No Value,No Value
" $264,589 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Brant Community Healthcare System,No Value,No Value
" $1,422,222 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Centre For Addiction And Mental Health,No Value,No Value
" $485,401 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Chatham-Kent Health Alliance,No Value,No Value
" $2,414,888 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Children's Hospital Of Eastern Ontario - Ottawa Children's Treatment Centre,No Value,No Value
" $5,955,382 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Grand River Hospital Corporation,No Value,No Value
" $254,921 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Grey Bruce Health Services,No Value,No Value
" $2,592,388 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Halton Healthcare Services Corp,No Value,No Value
" $2,803,826 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Hamilton Health Sciences Corp,No Value,No Value
" $221,262 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Headwaters Health Care Centre,No Value,No Value
" $3,709,314 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Health Sciences North,No Value,No Value
" $275,371 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Homewood Health Centre Inc,No Value,No Value
" $18,583,275 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Hospital For Sick Children (Hsc),No Value,No Value
" $351,690 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Hotel-Dieu Grace Healthcare,No Value,No Value
" $4,919,073 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Humber River Hospital,No Value,No Value
" $11,682,391 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Innomar Specialty Pharmacy,No Value,No Value
" $2,876,474 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Kingston Health Sciences Centre,No Value,No Value
" $412,542 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Lake Of The Woods District Hospital (Lwdh),No Value,No Value
" $1,449,834 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Lakeridge Health,No Value,No Value
" $9,312,232 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,London Health Sciences Centre,No Value,No Value
" $5,366,171 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Mackenzie Health,No Value,No Value
" $2,338,589 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Niagara Health System,No Value,No Value
" $1,011,050 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,North Bay Regional Health Centre,No Value,No Value
" $598,667 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,North York General Hospital,No Value,No Value
" $226,473 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Northumberland Hills Hospital,No Value,No Value
" $132,656 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Oak Valley Health,No Value,No Value
" $7,753,654,172 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Ontario Drugs Programs,No Value,No Value
" $658,769,994 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Ontario Health/Sante Ontario,No Value,No Value
" $940,371 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Ontario Shores Centre For Mental Health Sciences,No Value,No Value
" $1,296,388 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Orillia Soldiers Memorial Hospital,No Value,No Value
" $6,895,142 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Ottawa Hospital,No Value,No Value
" $706,060 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Peterborough Regional Health Centre,No Value,No Value
" $399,238 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Providence Care Centre,No Value,No Value
" $130,535 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Queensway Carleton Hospital,No Value,No Value
" $630,996 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Renfrew Victoria Hospital,No Value,No Value
" $168,769 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Ross Memorial Hospital,No Value,No Value
" $632,275 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Royal Ottawa Health Care Group /Services De Sante Royal Ottawa,No Value,No Value
" $1,693,950 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Royal Victoria Regional Health Centre,No Value,No Value
" $6,624,103 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Sanofi-Aventis Canada Inc,No Value,No Value
" $618,704 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Sault Area Hospital,No Value,No Value
" $10,841,219 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Scarborough Health Network,No Value,No Value
" $7,401,789 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Shoppers Drugmart Specialty Health Network,No Value,No Value
" $349,125 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Southlake Regional Health Centre,No Value,No Value
" $268,462 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,St Joseph's Care Group Corp,No Value,No Value
" $955,317 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,St Joseph's Health Care London,No Value,No Value
" $4,102,341 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,St Joseph's Healthcare Hamilton,No Value,No Value
" $237,052 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Stevenson Memorial Hospital,No Value,No Value
" $5,421,645 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Sunnybrook Health Sciences Centre,No Value,No Value
" $2,109,528 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Thunder Bay Regional Health Sciences Centre,No Value,No Value
" $565,786 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Timmins & District Hospital,No Value,No Value
" $1,353,338 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Toronto East Health Network,No Value,No Value
" $25,018,401 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Trillium,No Value,No Value
" $4,696,806 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Trillium Health Partners,No Value,No Value
" $2,469,561 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Unity Health Toronto (O/A Providence St Josephs & St Michaels Healthcare),No Value,No Value
" $9,491,279 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,University Health Network,No Value,No Value
" $326,347 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Waypoint Centre For Mental Health Care,No Value,No Value
" $7,233,819 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,William Osler Health System,No Value,No Value
" $3,627,285 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,Windsor Regional Hospital,No Value,No Value
" $1,186,759 ",Ministry Of Health,Transfer Payments,Ontario Drug Programs,"Accounts Under $120,000",No Value,No Value
" $5,196,757 ",Ministry Of Health,Transfer Payments,Quality Management Program - Laboratory Services,Institute For Quality Management In Healthcare,No Value,No Value
" $6,358,120 ",Ministry Of Health,Transfer Payments,Midwifery Services,Association Of Ontario Midwives,No Value,No Value
" $9,257,723 ",Ministry Of Health,Transfer Payments,Midwifery Services,Barrie Community Health Centre,No Value,No Value
" $8,157,365 ",Ministry Of Health,Transfer Payments,Midwifery Services,Centre De Sante Communautaire Hamilton-Niagara Inc,No Value,No Value
" $15,941,636 ",Ministry Of Health,Transfer Payments,Midwifery Services,Grand River Community Health Centre,No Value,No Value
" $5,936,259 ",Ministry Of Health,Transfer Payments,Midwifery Services,Guelph Community Health Centre,No Value,No Value
" $7,551,418 ",Ministry Of Health,Transfer Payments,Midwifery Services,Halton Healthcare Services Corp,No Value,No Value
" $862,126 ",Ministry Of Health,Transfer Payments,Midwifery Services,"Kenhte: Ke Midwives, Kontinenhanonhnha Tsi Tkaha: Nayen ""They Are Protecting The Seeds At The Bay Of Quinte""",No Value,No Value
" $4,414,873 ",Ministry Of Health,Transfer Payments,Midwifery Services,Kitchener Downtown Community Health Centre,No Value,No Value
" $3,740,702 ",Ministry Of Health,Transfer Payments,Midwifery Services,Langs Farm Village Association,No Value,No Value
" $13,734,985 ",Ministry Of Health,Transfer Payments,Midwifery Services,London Health Sciences Centre,No Value,No Value
" $6,040,515 ",Ministry Of Health,Transfer Payments,Midwifery Services,Oak Valley Health,No Value,No Value
" $823,754 ",Ministry Of Health,Transfer Payments,Midwifery Services,Onkwehon:We Midwives Collective,No Value,No Value
" $10,574,591 ",Ministry Of Health,Transfer Payments,Midwifery Services,Peterborough Child And Family Centres,No Value,No Value
" $1,690,349 ",Ministry Of Health,Transfer Payments,Midwifery Services,Sault Area Hospital,No Value,No Value
" $20,629,095 ",Ministry Of Health,Transfer Payments,Midwifery Services,South-East Ottawa Community Services,No Value,No Value
" $7,003,366 ",Ministry Of Health,Transfer Payments,Midwifery Services,Stratford General Hospital,No Value,No Value
" $4,489,720 ",Ministry Of Health,Transfer Payments,Midwifery Services,Thunder Bay Counselling Centre,No Value,No Value
" $52,534,397 ",Ministry Of Health,Transfer Payments,Midwifery Services,Unison Health & Community Services,No Value,No Value
" $9,853,995 ",Ministry Of Health,Transfer Payments,Midwifery Services,Victorian Order Of Nurses For Canada - Ontario Branch,No Value,No Value
" $3,804,335 ",Ministry Of Health,Transfer Payments,Midwifery Services,Windsor Essex Community Health Centre,No Value,No Value
" $2,320,476 ",Ministry Of Health,Transfer Payments,Midwifery Services,Woolwich Community Health Centre,No Value,No Value
" $82,146,546 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Accertaclaim Servicorp Inc,No Value,No Value
" $21,026,840 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Board Of Health For Oxford Elgin St Thomas Health Unit,No Value,No Value
" $13,435,129 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Board Of Health For The Huron Perth Health Unit,No Value,No Value
" $14,516,066 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Board Of Health For The Northwestern Health Unit (O/A Northwestern Health Unit),No Value,No Value
" $10,020,730 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Brant County Health Unit,No Value,No Value
" $35,813,138 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,City Of Hamilton,No Value,No Value
" $80,440,242 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,City Of Ottawa,No Value,No Value
" $219,575,874 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,City Of Toronto,No Value,No Value
" $11,130,471 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,County Of Lambton,No Value,No Value
" $13,131,966 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,District Of Algoma Health Unit,No Value,No Value
" $14,839,800 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Eastern Ontario Health Unit,No Value,No Value
" $14,212,714 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Grey Bruce Health Unit,No Value,No Value
" $15,580,060 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Haliburton Kawartha Pine Ridge District Health Unit,No Value,No Value
" $13,274,989 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Hastings & Prince Edward Counties Health Unit (O/A Hasting Prince Edward Public Health),No Value,No Value
" $759,100 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Keewaytinook Okimakanak Northern Chiefs Council,No Value,No Value
" $16,189,508 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Kingston Frontenac And Lennox And Addington Health Unit,No Value,No Value
" $13,675,080 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Leeds-Grenville & Lanark,No Value,No Value
" $1,731,400 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Matawa Health Co-Operative Inc,No Value,No Value
" $39,967,444 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Middlesex-London Health Unit,No Value,No Value
" $10,364,105 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Norfolk County,No Value,No Value
" $17,074,620 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,North Bay Parry Sound District Health Unit,No Value,No Value
" $322,188 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Ontario Association Of Veterinary Technicians (Oavt),No Value,No Value
" $10,988,597 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Peterborough County-City Health Unit,No Value,No Value
" $12,991,625 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Porcupine Health Unit,No Value,No Value
" $43,654,661 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of Durham,No Value,No Value
" $31,279,043 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of Halton,No Value,No Value
" $35,474,018 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of Niagara,No Value,No Value
" $91,480,425 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of Peel,No Value,No Value
" $35,176,330 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of Waterloo,No Value,No Value
" $77,080,476 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Regional Municipality Of York,No Value,No Value
" $9,409,923 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Renfrew County And District Health Unit,No Value,No Value
" $389,300 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Shibogama First Nations Council,No Value,No Value
" $38,870,594 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Simcoe Muskoka District Health Unit,No Value,No Value
" $8,507,400 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Sioux Lookout First Nations Health Authority,No Value,No Value
" $26,229,398 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Sudbury & District Health Unit,No Value,No Value
" $8,868,170 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,The Corporation Of The Municipality Of Chatham-Kent,No Value,No Value
" $16,705,714 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Thunder Bay District Health Unit,No Value,No Value
" $6,085,166 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Timiskaming Health Unit,No Value,No Value
" $3,600,000 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Weeneebayko Area Health Authority,No Value,No Value
" $20,910,851 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Wellington-Dufferin-Guelph Health Unit,No Value,No Value
" $21,022,505 ",Ministry Of Health,Transfer Payments,Official Local Health Agencies,Windsor-Essex County Health Unit,No Value,No Value
 $256 ,Ministry Of Health,Transfer Payments,Official Local Health Agencies,"Accounts Under $120,000",No Value,No Value
" $276,463 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,City Of Ottawa,No Value,No Value
" $157,178 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,City Of Toronto,No Value,No Value
" $173,771,959 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,Ontario Government Pharmacy & Medical Supply Services,No Value,No Value
" $134,368 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,Regional Municipality Of Halton,No Value,No Value
" $3,765,198 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,Sunnybrook Health Sciences Centre,No Value,No Value
" $771,760 ",Ministry Of Health,Transfer Payments,Outbreaks Of Diseases,"Accounts Under $120,000",No Value,No Value
" $474,337 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,2 Spirited People Of The First Nations,No Value,No Value
" $215,600 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Action Positive: Vih - Sida,No Value,No Value
" $408,420 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Africans In Partnership Against Aids,No Value,No Value
" $888,461 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of North Bay & Area,No Value,No Value
" $715,755 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of Cambridge Kitchener Waterloo & Area,No Value,No Value
" $787,026 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of Durham,No Value,No Value
" $998,751 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of Ottawa,No Value,No Value
" $1,539,287 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of Thunder Bay,No Value,No Value
" $1,756,246 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Aids Committee Of Toronto,No Value,No Value
" $320,625 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Alliance For South Asian Aids Prevention,No Value,No Value
" $331,965 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Asian Community Aids Services,No Value,No Value
" $1,692,912 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Black Coalition For Aids Prevention,No Value,No Value
" $253,142 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Bruce House,No Value,No Value
" $774,537 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Canadian Aids Treatment Information Exchange,No Value,No Value
" $5,084,176 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Canadian Blood Agency,No Value,No Value
" $461,462 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Carea Community Health Centre,No Value,No Value
" $545,200 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Cayr Community Connections (O/A Aids Committee Of York Region),No Value,No Value
" $170,059 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Centre For Spanish Speaking Peoples,No Value,No Value
" $221,700 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Centre Francophone Du Grand Toronto,No Value,No Value
" $175,516 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,City Of Ottawa,No Value,No Value
" $183,902 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Deaf Outreach Project,No Value,No Value
" $145,520 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Family Service Toronto,No Value,No Value
" $903,144 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Fife House Foundation,No Value,No Value
" $535,286 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Gilbert Centre For Social And Support Services,No Value,No Value
" $463,788 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Hassle Free Clinic,No Value,No Value
" $204,730 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Hemophilia Ontario,No Value,No Value
" $339,072 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Hiv & Aids Legal Clinic (Ontario),No Value,No Value
" $852,267 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Hiv/Aids Regional Services,No Value,No Value
" $779,369 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Hiv/Aids Resources And Community Health,No Value,No Value
" $11,390,959 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Kingston Community Health Centres (Kchc),No Value,No Value
" $245,837 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Lakeridge Health,No Value,No Value
" $272,110 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Loft Community Services,No Value,No Value
" $612,616 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,London Intercommunity Health Centre,No Value,No Value
" $159,785 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Maggie's:Toronto Sex Workers Action Project,No Value,No Value
" $847,805 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Mayo Health & Community Services,No Value,No Value
" $144,296 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Neighbourhood Group Community Services,No Value,No Value
" $633,858 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Niagara Health System,No Value,No Value
" $418,000 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,North Lambton Community Health Centre,No Value,No Value
" $1,899,282 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ontario Aboriginal Hiv/Aids Strategy,No Value,No Value
" $1,733,647 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ontario Aids Network,No Value,No Value
" $12,105,100 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ontario Hiv Treatment Network,No Value,No Value
" $296,200 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ottawa Gay Men's Wellness Initiative,No Value,No Value
" $757,447 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ottawa Hospital,No Value,No Value
" $156,900 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Ottawa Hospital Research Institute,No Value,No Value
" $301,731 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Parkdale Queen West Community Health Centre,No Value,No Value
" $897,277 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Peterborough Aids Resource Network (Parn),No Value,No Value
" $325,000 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Porcupine Health Unit,No Value,No Value
" $991,468 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Positive Living Niagara,No Value,No Value
" $867,651 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Pozitive Pathway Community Services,No Value,No Value
" $806,167 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Prisoners With Hiv/Aids Support Action Network,No Value,No Value
" $317,600 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Regent Park Community Health Centre,No Value,No Value
" $1,643,871 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Regional Hiv/Aids Connection,No Value,No Value
" $1,229,712 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Reseau Access Network,No Value,No Value
" $3,390,171 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Royccatz,No Value,No Value
" $253,610 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Sandy Hill Community Health Centre,No Value,No Value
" $660,103 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Sanguen Health Centre Foundation,No Value,No Value
" $871,744 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Sault Ste Marie & District Group Health Association,No Value,No Value
" $444,292 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Sherbourne Health Centre,No Value,No Value
" $479,500 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Sioux Lookout First Nations Health Authority,No Value,No Value
" $804,796 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Somerset West Community Health Centre,No Value,No Value
" $1,107,210 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,South Riverdale Community Health Centre,No Value,No Value
" $619,954 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Teresa Group Child & Family Aid,No Value,No Value
" $1,353,135 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,The Aids Network,No Value,No Value
" $976,296 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Toronto People With Aids Foundation,No Value,No Value
" $157,596 ",Ministry Of Health,Transfer Payments,Hiv Aids And Hepatitis C Programs,Union Of Ontario Indians,No Value,No Value
